user_id,gender,ans_correct_rate,math_correct_rate,spatial_correct_rate,memory_correct_rate,ans_rank,math_rank,spatial_rank,memory_rank
RHJM,M,0.625,0.916666667,0.833333333,0.222222222,12.5,19,12.5,34.5
AASS,M,0.5,0.941176471,0,0.555555556,31,15.5,40,11.5
JPJP,F,0.609375,0.85,0.333333333,0.555555556,18,24,33.5,11.5
QMQM,F,0.53125,0.625,0.166666667,0.444444444,27,40,36.5,19.5
ABCD,F,0.375,1,0.833333333,0.777777778,37,5,12.5,2.5
CTCT,F,0.671875,0.823529412,0.666666667,0.333333333,3,28,25.5,28.5
JGBC,M,0.4375,0.652173913,0.166666667,0.111111111,34,39,36.5,39.5
ARWB,M,0.640625,1,0.833333333,0.444444444,9,5,12.5,19.5
BYFL,F,0.671875,0.818181818,0.833333333,0.222222222,3,29,12.5,34.5
LQEG,F,0.671875,0.736842105,0.666666667,0.333333333,3,36,25.5,28.5
KBMS,F,0.640625,0.9,0.833333333,0.666666667,9,20,12.5,6.5
NAAS,F,0.609375,0.846153846,0.666666667,0.555555556,18,25.5,25.5,11.5
LWEW,M,0.53125,0.933333333,0.833333333,0.444444444,27,18,12.5,19.5
FZHF,M,0.609375,0.956521739,1,0.444444444,18,11,2.5,19.5
YGYS,F,0.28125,1,1,0.444444444,39,5,2.5,19.5
HLZH,F,0.15625,1,0.833333333,0.111111111,41,5,12.5,39.5
MCHC,M,0.609375,1,0.833333333,0.444444444,18,5,12.5,19.5
ADER,F,0.65625,1,0.833333333,0.777777778,6,5,12.5,2.5
YTDW,F,0.71875,0.863636364,0.166666667,0.555555556,1,23,36.5,11.5
MGRG,M,0.65625,0.588235294,0.666666667,0.222222222,6,41,25.5,34.5
AFHY,F,0.609375,0.777777778,0.333333333,0.222222222,18,32,33.5,34.5
MRMR,M,0.625,0.8,0.833333333,0.666666667,12.5,31,12.5,6.5
FZHF,M,0.578125,0.846153846,1,0.333333333,22.5,25.5,2.5,28.5
YCBH,F,0.578125,0.80952381,0.166666667,0.444444444,22.5,30,36.5,19.5
RSWS,M,0.640625,0.947368421,0.833333333,0.555555556,9,13,12.5,11.5
MZMZ,F,0.625,0.695652174,0.5,0.333333333,12.5,37,31.5,28.5
WYNN,F,0.46875,0.75,0.833333333,0.222222222,32.5,33.5,12.5,34.5
YGRR,F,0.515625,0.952380952,0.666666667,0.777777778,30,12,25.5,2.5
XJFB,F,0.609375,1,1,0.666666667,18,5,2.5,6.5
CKSB,F,0.53125,0.941176471,0,0.444444444,27,15.5,40,19.5
NSBK,M,0.53125,0.739130435,0.666666667,0.444444444,27,35,25.5,19.5
YLYT,F,0.53125,0.9375,0.833333333,0.444444444,27,17,12.5,19.5
MCWK,F,0.65625,0.833333333,0.666666667,0.222222222,6,27,25.5,34.5
ZHIA,M,0.609375,0.875,0.666666667,0.444444444,18,21.5,25.5,19.5
LZHH,F,0.421875,1,0.833333333,0.111111111,35,5,12.5,39.5
ABCD,F,0.40625,0.75,0,0.333333333,36,33.5,40,28.5
ASYX,F,0.171875,0.944444444,0.666666667,0.777777778,40,14,25.5,2.5
GUGU,F,0.625,1,0.666666667,0.666666667,12.5,5,25.5,6.5
BDBH,M,0.3125,0.666666667,0.5,0.111111111,38,38,31.5,39.5
SHUO,F,0.5625,0.958333333,0.833333333,0.444444444,24,10,12.5,19.5
YODO,M,0.46875,0.875,0.833333333,0.333333333,32.5,21.5,12.5,28.5
